以	a1olj1oljj4yljj4
釗	oyu5oyuu6
釷	oyu7oyuu4
钍	oyu8oyuu9tyu1tyuu2*
鐃	oyua1
鑄	oyuc1oyud1oyuf1oyui2
虚	oyud2xyu1xyud2*
歭	oyuf2
鑆	oyuf3
銡	oyui1
鎱	oyui3
鉣	oyul1
虡	oyum1
錂	oyum2
錴	oyum3oyuu3
镤	oyum4pyu1pyum1
鏷	oyum5
﨨	oyum6
鐽	oyun1
鑟	oyuo1
鎑	oyuo2
銈	oyuu2
鈅	oyv1oyvv11
鄁	oyv2oyvv2
鄤	oyv6oyvv6
釕	oyv8oyvv3
肻	oyv10oyvv10
鈀	oyvc2
釶	oyvc3
虛	oyvd1
釨	oyvd2
鈕	oyvd3
錒	oyvf2
鑔	oyvg1oywg2
鈯	oyvi1
鍏	oyvi2
堳	oyvo1
鎇	oyvo3
錳	oyvo4
鐊	oyvr1
錋	oyvv9
钥	oyvv12yy2yyv1yyvv1
鏘	oyvw1
齙	oywb2
飽	oywb3
铇	oywb4
鉋	oywb5
錚	oywb6
銏	oywd2
钨	oywd4wy1wyw1wywd3*
虝	oywe1
鋒	oywg1
鍧	oywh1
鈞	oywh2
偶一为之	oywi1oywz1
齣	oywi2
鉻	oywi4
餎	oywi6
銘	oywi7
鉛	oywi8
鉤	oywi9
銽	oywi10
铅	oywi13qyw1qywi1uyw1uywi1yyw1yywi5*
歑	oywj1oywk1
欳	oywj2oywk2
欽	oywj3oywk4
歔	oywj4oywk5
钦	oywj5oywk3qy2qywj1qywk1uy2uywj1uywk1
釣	oywk6
鮆	oywk7oywm1oywo2
釩	oywk8
釻	oywk9
钑	oywk10
鈒	oywk11
釸	oywk12
鐌	oywk13
铄	oywk14sywk1
歺	oywk17
鈎	oywl1
鍃	oywl3
鈠	oywl4
鍯	oywl5
鏠	oywn1
鉖	oywn2
鎭	oywo1
鎦	oywo4
鋔	oywo5
鉨	oywp1
銁	oywr1
鑥	oywr3
錉	oywr4
錎	oywr5
鋾	oywt1
飹	oywv1
鉚	oywv3
銫	oywv4
铯	oywv5syw1sywv2*
處	oyww1
镵	oyww3
鑱	oyww4
鉹	oyww5
齺	oyww6
齔	oyww7
釠	oyww8
釚	oyww9
錭	oyww10
鐖	oyxa1
錄	oyxd1oyxj1
鉧	oyxk1
鏆	oyxo1
镴	oyxo2
鑞	oyxo3
鎻	oyxo4
鏁	oyxo5
錙	oyxo7
鍿	oyxo8
銯	oyxp1
鐑	oyxu1
卝	oyy3oyyy5
錖	oyy7oyyy7
鈭	oyy8oyyy8
鍂	oyy9oyyy9
鐬	oyya1
鐻	oyya2
钀	oyya3
錿	oyyc1oyyw2
虤	oyyc2oyyw3yyy1yyyw1
韰	oyyd2
鉲	oyyf1oyyj2oyyk2
鉆	oyyi1
鑡	oyyj1
歨	oyyk1
鎼	oyyk3
敊	oyyl1
敁	oyyl2
鈙	oyyl3
鏬	oyym1
鍞	oyyo1
鑪	oyyo2
鏀	oyyo3
鐪	oyyo4
鑢	oyyo5
鋽	oyyr1
錹	oyyv1
鉳	oyyw1
齜	oyyw5
齾	oyyx1
歮	oyyy10
鑫	oyyy11xyy1xyyy1
平均	p2phju1
朋友	p3pvya1
破案率	paal1
破案	paan1
破冰船	pab1pabc2
磅礴	paba1
破布	paba2*
碰壁	pabb1
破壁	pabb2*
碰杯	pabc1
破冰	pabh1
破败	pabo1
平安保险	pabx1
碰瓷儿	pace1
破产法	pacf1
破产	pach1
碰瓷	pach2*
破窗	pacn1
破财	paco1
破船	pacq1
破车	pacs1
破除	pacv1
碰触	pacw1
破处	pacw2*
破洞	padd1
碰钉子	padi1padz1
碰倒	padj1
破掉	padk1
碰到	pads1
破胆	padv1
拍案而起	paeq1paeu1
破费	pafb1
碰翻	pafm1
破发	pafn1pafz1
破防	pafv1
破风	pafw1
破格	pagc1
破故纸	pagi1pagz1
破关	pagm1
破瓜	pagq1
破罐	pagt1
破获	pahe1
破坏力	pahl1
破坏神	pahs1
破坏	pahu1
破坏性	pahx1
碰在	paia1paza1
破折号	paih1pazh1
碰撞	paik1pazk1
碰着	paim1pazm1
邳州	paim2pazm2
邳州市	pais1pazs1
破竹	pait1pazt1
破阵	paiv1pazv1
破绽	paix1pazx1
破解版	pajb1
破局	pajb2*
碰击	pajg1
破旧	paji1
拍案叫绝	pajj1
破纪录	pajl1
碰见	pajo1
拍案惊奇	pajq1paju1
破戒	pajs1
破解	pajw1
π键	pajy1
破溃	pakd1
破开	pakg1
破口	paki1
破空	pakn1
破壳	paku1
破裂	pala1
破浪	pald1
破落	pale1
破例	palj1
破烂	palm1
碰了	palv1
破陋	palv2*
破锣	paly1
碰面	pama1
破灭	pamd1
破庙	pamh1
破门	pamj1
破密	pamn1
碰碰	papa1
砰砰	papa2*
碰碰车	papc1
破片	papr1
碰巧	paqf1pauf1
破气	paqt1paut1
砰然	parv1parw1
破碎	pasa1
硼砂	pasa2*
破事儿	pase1
破事	pasf1
破伤风	pasf2
硼酸	pasf3
砒霜	pash1
碰伤	pasj1
破损	pask1
破书	pasx1
碰上	pasy1
碰头会	pat1path2
否泰	patg1
破天荒	path1
碰头	patn1
破题	patr1
破土	patu1
破屋	pawb1
破网	pawo1
平安无事	paws1
破玩意	pawy1
破袭	paxa1
破相	paxc1
破鞋	paxf1
平安幸福	paxf2
破袭战	paxi1paxz1
破晓	paxr1
破血	paxr2*
碰硬	paya1
破译	payl1
碰运气	payq1payu1
偏安一隅	payy1
漂泊不定	pbbd1
屏蔽	pbbe1
排兵布阵	pbbi1pbbz1
屏保	pbbj1
疲惫不堪	pbbk1
屏蔽器	pbbq1pbbu1
劈刺	pbcf1
普遍存在	pbci1pbcz1
劈叉	pbcl1
劈柴	pbcy1
劈倒	pbdj1
平板电脑	pbdn1
平板电视	pbds1
平步登天	pbdt1
迫不得已	pbdy1
喷薄而出	pbec1
扑鼻而来	pbel1
蓬勃发展	pbfi1pbfz1
屏风	pbfw1
普遍规律	pbgl1
排版功能	pbgn1
皮包公司	pbgs1
皮包骨头	pbgt1
屁股	pbgv1
评比活动	pbhd1
屁话	pbhl1
辟秽	pbht1
平板支撑	pbic1pbzc1
劈波斩浪	pbil1pbzl1
普遍真理	pbil2pbzl2
屏障	pbiv1pbzv1
迫不及待	pbjd1
贫病交加	pbjj1
拼搏精神	pbjs1
劈砍	pbka1
劈开	pbkg1
劈面	pbma1
屏幕	pbme1
赔本买卖	pbmm1
屏幕上	pbms1
屏边苗族自治县	pbmx1
屏南	pbnf1
屏南县	pbnx1
劈啪	pbpi1
跑步前进	pbqj1pbuj1
配备齐全	pbqq1pbuu2
劈去	pbqu1pbuu1
平步青云	pbqy1pbuy1
譬如说	pbr1pbrs2
譬如	pbrs1
普遍认同	pbrt1
劈死	pbsa1
屁事	pbsf1
蓬荜生辉	pbsh1
劈手	pbsk1
劈杀	pbsm1
劈山	pbso1
屏山	pbso2*
屏山县	pbsx1
劈头	pbtn1
劈腿	pbtv1
脾不统血	pbtx1
平白无故	pbwg1
朋比为奸	pbwj1
评比项目	pbxm1
蓬勃向上	pbxs1
普遍现象	pbxx1
喷薄欲出	pbyc1
譬喻	pbyi1
辟谣	pbyl1
屁眼	pbyo1
屁用	pbyw1
漂泊异乡	pbyx1
普遍意义	pbyy1
赔偿案件	pcaj1
赔偿标准	pcbi1pcbz1
攀比	pcbs1
破产边缘	pcby1
排除错误	pccw1
赔偿程序	pccx1
棚顶	pcdf1
攀登	pcdl1
朴刀	pcdn1pcdz1
赔偿方案	pcfa1
攀附	pcfv1
赔偿范围	pcfw1
赔偿费用	pcfy1
攀高	pcgh1
排除干扰	pcgr1
棚户	pchl1
棚户区	pchq1pchu1
赔偿制度	pcid1pczd1
攀枝花	pcih1pczh1
朴拙	pcik1pczk1
攀折	pcik2*pczk2*
朴质	pciq1pczq1
赔偿责任	pcir1pczr1
棚子	pciv1pczv1
排除在外	pciw1pczw1
派出机构	pcjg1
棚架	pcjn1pcjz1
排除困难	pckn1
破财免灾	pcmi1pcmz1
破除迷信	pcmx1
棚内	pcno1
枇杷	pcpc1
陪吃陪喝	pcph1
攀爬	pcpq1
骗财骗色	pcps1
枇杷叶	pcpy1
攀亲	pcqh1pcuh1
皮糙肉厚	pcrh1
平常日子	pcri1pcrz1
评测软件	pcrj1
朴散	pcsf1
朴素	pcsg1
朴实	pcsn1
赔偿损失	pcss1
攀升	pcst1
判处死刑	pcsx1
攀上	pcsy1
攀谈	pctl1
排出体外	pctw1
棚屋	pcwb1
排除危害	pcwh1
鹏程万里	pcwl1
排除万难	pcwn1
朴硝	pcxa1
赔偿限额	pcxe1
破财消灾	pcxi1pcxz1
赔偿原则	pcyi1pcyz1
排除异己	pcyj1
排斥异己	pcyj2
攀援	pcyk1
攀岩	pcyo1
攀越	pcyu1
潘安	pdan1
瀑布	pdba1
漂泊	pdbd1
漂白粉	pdbf1
泡病号	pdbh1
派别	pdbi1
泡吧	pdbi2*
漂白剂	pdbj1
判断病情	pdbq1pdbu1
漂白	pdbr1
派兵	pdbr2*
浦北县	pdbx1
浦北	pdby1
泡茶	pdce1
泡菜	pdce2*
派出所	pdcs1
派车	pdcs2*
浦城	pdcu1
派出	pdcv1
浦城县	pdcx1
潘多拉	pdd1pddl2
漂荡	pdde1
派对	pddl1
派单	pddm1
平等待人	pddr1
浦东	pdds1
派到	pdds2*
派队	pddv1
平等地位	pddw1
平地而起	pdeq1pdeu1
漂浮	pdfd1
派发	pdfn1pdfz1
泼妇	pdfs1
泡饭	pdfw1
判断过程	pdgc1
平等公正	pdgi1pdgz1
沛公	pdgm1
排队购买	pdgm2
派给	pdgx1
平等关系	pdgx2
澎湖	pdhd1
平等互利	pdhl1
澎湖湾	pdhw1
泡在	pdia1pdza1
泡澡	pdid1pdzd1
普渡众生	pdis1pdzs1
普度众生	pdis2pdzs2
派至	pdis3pdzs3
婆子	pdiv1pdzv1
派驻	pdix1pdzx1
平等自愿	pdiy1pdzy1
潘金莲	pdj2pdjl2
潘集区	pdj3pdjq1pdju1
泡椒	pdjc1
浦江	pdjd1
平等竞争	pdji1pdjz1
派军	pdjl1
婆家	pdjn1
庖丁解牛	pdjn2
泡脚	pdjv1
浦江县	pdjx1
品德教育	pdjy1
派克	pdkf1
泡开	pdkg1
浦口区	pdkq1pdku1
泼辣	pdl1pdlh2*
漂流	pdld1
漂沦	pdld2
漂亮	pdlh1
派来	pdlh3*
潘多拉的盒子	pdli1pdlz1
婆罗门	pdlm1
跑得了和尚跑不了庙	pdlm2
判断力批判	pdlp1
泼冷水	pdls1
潽了	pdlv1
泼墨	pdm2pdmo1
泡面	pdma1
泡沫	pdmd1
碰到麻烦	pdmf1
排队买票	pdmp1
婆妈	pdms1
泡馍	pdmw1
婆母	pdmx1
泡尿	pdnb1
派你	pdnj1
判断能力	pdnl1
泡妞	pdns1
婆娘	pdns2*
婆婆	pdp1pdpd2*
泡泡	pdp2pdpd4*
澎湃	pdpd1
婆婆丁	pdpd3
漂漂	pdpd5*
泼皮	pdpn1pdpz1
潘帕斯	pdps1
泡泡糖	pdpt1
排队抢购	pdqg1pdug1
派遣证	pdqi1pdqz1pdui1
平等权利	pdql1pdul1
派遣	pdqo1pduo1
派去	pdqu1pduu1
漂染	pdrd2
平淡日子	pdri1pdrz1
派人	pdrj1
沛然	pdrv1pdrw1
泼洒	pds2pdsd3*
泡水	pds3pdsd2*
婆娑	pdsd1
泼水	pdsd4*
平淡是真	pdsi1pdsz1
泼水节	pdsj1
派送	pdsm1
平顶山市	pdss2
派生	pdst1
平等思想	pdsx1
泡上	pdsy1
派上	pdsy2*
泡桐	pdtc1
泡汤	pdtd1
滂沱	pdtd2*
派他	pdtj1
派头	pdtn1
泡腾片	pdtp1
派往	pdwk1
泡网	pdwo1
平淡无奇	pdwq1pdwu1
平淡无味	pdww1
平等相处	pdxc1
漂洗	pdxd1
平等相待	pdxd2
派系	pdxe1pdxw1
浦西	pdxf1
派性	pdxn1
沛县	pdxo1
浦东新区	pdxq1pdxu1
派息	pdxr1
婆媳	pdxs1
平等协商	pdxs2
派员	pdyi1
平等原则	pdyi2pdyz1
溥仪	pdyj1
派语	pdyl1
泡影	pdyr1
婆姨	pdys1
濮阳市	pdys2
漂移	pdyt1
濮阳	pdyv1
濮阳县	pdyx1
蓬安	pean1
蓬安县	peax1
蓬勃	pebf1
破而不立	pebl1
蒲城	pecu1
蒲城县	pecx1
苹果园	peg1pegy2
苹果机	pegj1
苹果	pego1
苹果派	pegp1
蒲公英	pegy1
蓬蒿	pehe1
蒲黄	pehf1
破而后立	pehl1
萍踪	peii1pezi1
蒲江	pejd1
萍聚	pejf1
蓬江区	pejq1peju1
蒲江县	pejx1
皮尔卡丹	pekd1
蓬莱	pele1
蓬莱阁	pelg1
蓬莱市	pels1
蓬乱	pelt1
皮儿片儿的	pepd1
蓬蓬	pepe1
皮儿片儿	pepe2
蒲圻	pequ1peuu1
蒲松龄	pes2pesl2
蓬松	pesc1
萍水	pesd1
菩萨	pese1
蒲扇	pesl1
菩萨蛮	pesm1
莆田市	pet1pets2
葡萄籽	pet2peti2petz2
葡萄园	pet3pety2
葡萄	pete1
葡萄干	petg1
菩提根	petg2
葡萄汁	peti1petz1
葡萄酒	petj1
菩提	petk1
莆田	peto1
蒲团	peto2
葡萄皮	petp1
菩提树	pets1
葡萄糖	pett1
葡萄牙	pety1
蓬溪	pexd1
蒲县	pexo1
萍乡市	pexs1
萍乡	pexx1
蓬溪县	pexx2
飘泊	pfbd1
评分标准	pfbi1pfbz1
贫富不均	pfbj1
配比	pfbs1
配备	pfbw1
配成	pfca1
配菜	pfce1
配唱	pfci1
破釜沉舟	pfci2pfcz1
贫富差距	pfcj1
飘窗	pfcn1
瓢虫	pfco1
飘尘	pfcp1
飘出	pfcv1
配餐	pfcy1
配错	pfcy2*
配电箱	pfd1pfdx2
配殿	pfdb1
佩服得五体投地	pfdd1
飘荡	pfde1
配戴	pfdf1
飘带	pfdf2*
飘动	pfdg1
配搭	pfdk1
配对	pfdl1
配电	pfdo1
配电盘	pfdp1
飘到	pfds1
捧腹大笑	pfdx1
配额	pfen1
票额	pfen2*
票贩子	pff1pffi1pffz2
飘浮	pffd1
排放法规	pffg1
配方	pffh1
飘拂	pffk1
票房	pffl1
配发	pffn1pffz1
飘飞	pffn2*pffz3*
票贩	pffo1
票根	pfgc1
飘过	pfgf1
平方公里	pfgl1
配股权	pfgq1pfgu1
批发公司	pfgs1
配股	pfgv1
票汇	pfhd1
票号	pfhi1
配合	pfhj1
皮肤护理	pfhl1
平方毫米	pfhm1
剽悍	pfhn1
配好	pfhs1
蚍蜉撼树	pfhs2
飘忽	pfhw1
飘红	pfhx1
配子	pfi1pfiv2*pfz1pfzv2*
飘在	pfia1pfza1
颇费周折	pfii1pfzz1
票证	pfil1pfzl1
飘着	pfim1pfzm1
配置	pfio1pfzo1
配制	pfit1pfzt1
配种	pfit2*pfzt2*
飘走	pfiu1pfzu1
票子	pfiv1pfzv1
飘坠	pfiv3*pfzv3*
平反昭雪	pfix1pfzx1
匹夫之勇	pfiy1pfzy1
配件厂	pfjc1
飘进	pfjg1
票决	pfjh1
配件	pfjj1
票价	pfjj2*
票据	pfjk1
配角	pfjw1
配给	pfjx1
聘金	pfjy1
普法教育	pfjy2
票款	pfku1
票卡	pfky1
飘落	pfle1
飘零	pflh1
飘来	pflh2*
剽掠	pflk1
聘礼	pfll1
配料	pflm1
平方厘米	pflm2
批发零售	pfls1
票面	pfma1
飘渺	pfmd1
飘满	pfmd2*
皮肤粘膜	pfnm1
配偶	pfoj1
瓢泼	pfpd1
飘萍	pfpe1
飘飘	pfpf1
配平	pfph1
飘飘然	pfpr1
聘期	pfqf1pfuf1
配齐	pfqh1pfuh1
配器	pfqi1pfui1
排放情况	pfqk1pfuk1
聘请	pfql1pful1
平方千米	pfqm1pfum1
剽窃	pfqn1pfun1
配曲	pfqo1pfuo1
平分秋色	pfqs1pfus1
飘去	pfqu1pfuu1
飘起	pfqu2*pfu2pfuu2*
脾肺气虚	pfqx1pfux1
聘任制	pfri1pfrz1
聘任	pfrj1
飘柔	pfrl1
飘入	pfrm1
平凡人生	pfrs1
飘然	pfrv1pfrw1
飘散	pfs1pfsf2
配属	pfsb1
批发市场	pfsc1
飘洒	pfsd1
配速	pfsf1
配售	pfsj1
飘逝	pfsk1
配送	pfsm1
票数	pfsm2*
票房收入	pfsr1
配色	pfsw1
配饰	pfsw2*
聘书	pfsx1
配上	pfsy1
皮肤瘙痒	pfsy2
配套	pfta1
配体	pftj1
配台	pftl1
配图	pfto1
配伍	pfwj1
飘往	pfwk1
疲乏无力	pfwl1
聘为	pfwm1
排放污染	pfwr1
排放污水	pfws1
飘舞	pfwt1
票务	pfww1
飘下	pfxf1
飘雪	pfxh1
排放许可	pfxk1
配戏	pfxl1
配穴	pfxn1
飘向	pfxr1
配血	pfxr2*
贫富悬殊	pfxs1
飘香	pfxt1
票选	pfxt2*
飘逸	pfy1pfyw3*
配乐	pfy2pfyw2*
配钥匙	pfy3pfys1
票友	pfya1
配有	pfya2*
票样	pfyc1
票源	pfyd1
飘溢	pfyd2*
配液	pfyd3*
配药	pfye1
飘雨	pfyf1
飘云	pfyg1
配音	pfyh1
浦发银行	pfyh2
聘用制	pfyi1pfyz1
匹夫有责	pfyi2pfyz2
飘悠	pfyj1
飘扬	pfyk1
飘摇	pfyk2*
配以	pfyl1
飘曳	pfyo1
飘移	pfyt1
聘用	pfyw1
批发业务	pfyw4*
聘约	pfyx1
评估报告	pgbg1
评功摆好	pgbh1
盘根错节	pgcj1
屁股底下	pgdx1
评估方式	pgfs1
评估范围	pgfw1
评估费用	pgfy1
评估工作	pggi1pggz1
评估管理	pggl1
苹果公司	pggs1
评估指标	pgib1pgzb1
评估资产	pgic1pgzc1
评估专家	pgij1pgzj1
旁观者清，当局者迷	pgim1pgzm1
旁观者清	pgiq1pgiu1pgzq1pgzu1
破罐子破摔	pgis1pgzs1
耙子	pgiv1pgzv1
盘根究底	pgjd1
评估机构	pgjg1
评估机制	pgji1pgjz1
评估结论	pgjl1
披肝沥胆	pgld1
破格录取	pglq1pglu1
屁滚尿流	pgnl1
帕格尼尼	pgnn1
评估内容	pgnr1
琵琶	pgpg1
破罐破摔	pgps1
琵琶行	pgpx1
评估情况	pgqk1pguk1
平肝潜阳	pgqy1pguy1
披挂上阵	pgsi1pgsz1
膀胱湿热	pgsr1
刨根问底	pgwd1
平肝息风	pgxf1
评估项目	pgxm1
颇感兴趣	pgxq1pgxu1
璞玉	pgyg1
跑官要官	pgyg2
评估意见	pgyj1
评估业务	pgyw1
平安	phan1
平安县	phax1
平安夜	phay1
平板车	phb2phbc2
平板	phbc1
飘忽不定	phbd1
疲敝	phbm1
旁边	phbn1phbz1
徘徊不前	phbq1phbu1
旁白	phbr1
平白	phbr2*
平坝	phbu2*
疲惫	phbw1
平坝县	phbx1
平辈	phby1
平仓	phc1phcj2*
烹茶	phce1
平喘	phci1
平常	phcj1
旁侧	phcj3*
平畴	phco1
平川	phcr1
平昌	phcr2
平车	phcs1
平常心	phcx1
平昌县	phcx2
庖丁	phd2phdf2*
庞大	phda1
配合调查	phdc1
平淡	phdd1
排行第二	phde1
平顶	phdf1
平底	phdh1
披红戴花	phdh2
平度	phdh3*
平调	phdl1
平定	phdn1
平顶山	phds1
平度市	phds2
平等	phdt1
平地	phdu1
平底鞋	phdx1
平定县	phdx2
排行第一	phdy1
平方尺	phf1phfc2
剖腹产	phfc1
疲乏	phfe1
平方根	phfg1
平方	phfh1
平放	phfh2*
平房	phfl1
平方米	phfm1
平分	phfm2*
平反	phfq1
平复	phft1
剖腹	phfv1
平凡	phfw1
平分线	phfx1
旁观者	phgi1phgz1
配合工作	phgi2*phgz2*
平光	phgj1
旁观	phgl1
披红挂绿	phgl2
平谷	phgm1
平果	phgo1
平肝	phgv1
徘徊观望	phgw1
平果县	phgx1
平锅	phgy1
平衡点	phh2phhd2
平湖	phh3phhd4*
平衡表	phhb1
平滑	phhd1
破坏活动	phhd3
噗哈哈哈	phhh1
平滑肌	phhj1
平衡	phhk1
平话	phhl1
平衡木	phhm1
癖好	phhs1
平湖市	phhs2
平和	phht1
平缓	phhx1
平和县	phhx2
破坏婚姻	phhy1
烹煮	phi1phif2*phz2phzf2*
平装本	phi2phib2phz3phzb2
平直	phi3phif3*phzf3*
平仄	phia1phza1
平展	phib1phzb1
旁注	phid1phzd1
平整	phif1phzf1
旁支	phif4*phzf4*
平正	phif5*phzf5*
疱疹	phih1phzh1
平装	phih2*phzh2*
旁坐	phij1phzj1
旁证	phil1phzl1
配合治疗	phil2phzl2
烹制	phit1phzt1
痞子	phiv1phzv1
庞杂	phiw1phzw1
平价	phj1phjj3*
平江区	phj2phjq1phju2
平均奖	phj3phjj2
平局	phjb1
平津	phjd1
平江	phjd2*
平均分	phjf1
平静	phjg1
平均值	phji1phjz1
疲倦	phjj1
平均率	phjl1
平均数	phjs1
旁及	phjw1
平角	phjw2*
平级	phjx1
配合教学	phjx2
平江县	phjx3
剖开	phkg1
平空	phkn1
疲困	phko1
霹雷	phl1phlh2*
平流层	phlc1
澎湖列岛	phld1
疲劳	phle1
旁落	phle2*
霹雳	phlh1
平凉	phlh3*
旁路	phli1
平路	phli2*
疲累	phlo1
平罗	phlo2*
平凉市	phls1
平利	phlt1
炮火连天	phlt2
平乱	phlt3*
平陆	phlv1
霹雳舞	phlw1
平乐	phlw2
平陆县	phlx1
平乐县	phlx2
平利县	phlx3
平罗县	phlx4
平面图	phm2phmt2
平面波	phm3phmb2
剖面	phma1
平面	phma2*
平民	phmb1
痞满	phmd1
平民化	phmh1
旁门	phmj1
平面镜	phmj2
平米	phmm1
配合默契	phmq1phmu1
平明	phmr1
剖面图	phmt1
平脉	phmv1
剖面线	phmx1
平南	phnf1
平年	phnt1
平南县	phnx1
平平	phph1
平抛	phpk1
平叛	phpm1
平盘	phpq1
平铺	phpy1
破坏气氛	phqf1phuf1
平泉	phqr1phur1
平泉县	phqx1phux1
庞然	phr2phrv1phrw2*
疲弱	phrb1
旁人	phrj1
平日里	phrl1
平日	phrr1
疲软	phrs1
平壤	phru1
烹饪	phrw1
平素	phsg1
破坏社会	phsh1
平伸	phsj1
平手	phsk1
平视	phsl1
剖视	phsl2*
平实	phsn1
平山	phso1
平时	phsr1
平顺	phsr2*
平生	phst1
破坏生态	phst2
平声	phsu1
平山县	phsx1
平顺县	phsx2
配合使用	phsy1
烹调	pht1phtl2*
旁通	pht3phtl3*
疲态	phta1
平添	phtd1
疲沓	phtd2*
平潭	phtd3
旁听	phti1
破坏团结	phtj1
平摊	phtk1
平台	phtl1
平台期	phtq1phtu2
平头	phtn1
平躺	phtr1
旁听生	phts1
平坦	phtu1
平塘	phtu3
旁听席	phtx1
庞统	phtx2*
平潭县	phtx3
平塘县	phtx4
平武县	phw2phwx2
平卧	phwf1
平武	phwg1
旁骛	phwl1
平稳	phwt1
平纹	phwx1
剖析	phxc1
破坏现场	phxc2
旁系	phxe1phxw1
平型关	phxg1
平信	phxj1
平行	phxk1
平息	phxr1
平胸	phxv1
破坏行为	phxw2
平行线	phxx1
平乡	phxx2
平乡县	phxx3
平原	phya1
疲于	phyg1
平远	phyg2
平庸	phyh1
平邑	phyi1
平抑	phyk1
平遥	phym1
平易	phyr1
平舆	phyr2
平移	phyt1
旁移	phyt2*
平阳	phyv1
平月	phyv2*
平阴	phyv3
平阳县	phyx1
平遥县	phyx2
平阴县	phyx3
平邑县	phyx4
平原县	phyx5
平舆县	phyx6
平远县	phyx7
破绽百出	pibc1pzbc1
皮之不存	pibc2pzbc2
喷薄	pibe1
皮之不存，毛将焉附	pibf1pzbf2
品质保证	pibi1pzbz1
跑步机	pibj1
跑遍	pibl1
配置比例	pibl2pzbl1
批准部门	pibm1pzbm1
跑步	piby1
旁征博引	piby2pzby1
品出	pic1picv2*
品茶	pice1
噗嗤	pici1
噗哧	pici2*
品尝	picj1
跑操	pick1
跑出去	picq1picu1
品质超群	picq2picu2pzcq1pzcu1
跑车	pics1
喷出	picv1
跑出	picv3*
喷出岩	picy1
跑掉	pid1pidk3*
跑得快	pid2pidk2
品读	pid3pidl2*
跑单帮	pidb1
批准逮捕	pidb2*pzdb1
跑动	pidg1
啪嗒	pidi1
趴倒	pidj1
批准登记	pidj2pzdj2
品德	pidk1
跑得	pidk4*
跑调	pidl1
脾之大络	pidl3*pzdl2*
跑道	pidm1
跑电	pido1
跑到	pids1
铺在地上	pids2pzds1
品第	pidt1
批准单位	pidw1pzdw2
品质恶劣	piel1pzel1
批准发布	pifb1pzfb3
品种繁多	pifd1pzfd1
品种丰富	piff1pzff1
喷发	pifn1pifz1
配置方式	pifs1pzfs1
喷饭	pifw1
批准发行	pifx1pzfx1
批准公布	pigb1pzgb1
品格	pigc1
喷灌	pigd1
跑过	pigf1
跑光	pigj1
跑过来	pigl1
跑官	pign1
品管	pigt1
喷管	pigt2*
喷画	pihd1
品种很多	pihd2pzhd1
喷火	pihm1
跑回	piho1
攀枝花市	pihs1pzhs2
喷壶	pihu1
喷绘	pihx1
趴在	piia1piza1
喷嘴	piii1pizi1
片纸只字	piii2pzzz1
趴着	piim1pizm1
跑着	piim2*pizm2*
品质	piiq1pizq1
破竹之势	piis1pzzs1
品种	piit1pizt1
喷子	piiv1pizv1
批准执行	piix1pizx1pzix2pzzx2
喷溅	pij1pijd3*
啤酒肚	pij2pijd2
啤酒花	pij3pijh2
啤酒	pijd1
品酒	pijd4*
跑进	pijg1
喷浆	pijh1
喷剂	pijh3*
配置机制	piji1pzjz2*
配置基金	pijj1pzjj3*
批准进口	pijk1pzjk2*
啤酒瓶	pijp1
脾主肌肉	pijr1pzjr1
皮质激素	pijs1pzjs2
品鉴	piju1
品级	pijx1
跑酷	pikf1
品种开发	pikf2pzkf1
跑开	pikg1
批准开工	pikg2pzkg1
喷口	piki1
跑路	pil1pili2
铺张浪费	pilf1pzlf1
跑来	pilh1
品质良好	pilh2pzlh1
嘌呤	pili1
跑力值	pili3pilz2
品论	pill1
品类	pilm1
跑力	piln1pilz1
跑龙套	pilt1
啤梨	pilt2
跑了	pilv1
跑买卖	pim2pimm2
跑马场	pimc1
品茗	pime1
迫在眉睫	pimj1pzmj1
品貌	pimm1
喷墨	pimo1
品名	pimw1
跑马	pimx1
抛诸脑后	pinh1pznh1
品牌机	pip1pipj2
啪啪	pipi1
噼啪	pipi2*
跑偏	pipj1
品评	pipl1
啪啪啪	pipp1
品牌	pipr1
喷枪	piqc1piuc1
喷漆	piqd1piud1
哌嗪	piqi1piui1
喷气机	piqj1piuj1
跑圈	piqo1piuo1
品种齐全	piqq1piuu2pzqq1pzuu1
喷泉	piqr1piur1
喷气式	piqs1pius1
喷气	piqt1piut1
跑去	piqu1piuu1
喷砂	pisa1
喷水池	pisc1
喷洒	pisd1
喷水	pisd2*
碰撞事故	pisg1pzsg1
喷施	pish1
蹒跚	pisi1
脾主四肢	pisi2pzsz1
脾主升清	pisq1pisu1pzsq1pzsu1
喷射	pisr1
跑输	piss1
喷上	pisy1
跑上	pisy2*
跑跳	pit1piti2*
喷涂	pitd1
平整土地	pitd2pztd1
喷嚏	piti1
喷吐	piti3*
跑堂	pitj1
喷头	pitn1
喷图	pito1
跑题	pitr1
品竹弹丝	pits1pzts1
跑腿	pitv1
品脱	pitv2*
喷雾剂	piw2piwj2
品玩	piwg1
喷雾	piwh1
批准文号	piwh2pzwh1
品味	piwi1
品位	piwj1
配置文件	piwj3pzwj1
趴窝	piwn1
跑完	piwn2*
喷雾器	piwq1piwu1
跑外	piww1
跑鞋	pix1pixf2*
品相	pixc1
品系	pixe1pixw1
趴下	pixf1
跑下	pixf3*
咆哮	pixi1
咆啸	pixi2*
品行	pixk1
